dataset,trial_id,block,setting,horizon_s,model,stage,channel,n_samples,MSE
A1,2,0,stimulus,1.5,N0,encoding,0,205,423.43126634413755
A1,2,0,stimulus,1.5,N0,encoding,1,205,72258.01790285563
A1,2,0,stimulus,1.5,N0,encoding,2,205,112209.6689932985
A1,2,0,stimulus,1.5,N0,maintenance,0,362,1005.4996766589088
A1,2,0,stimulus,1.5,N0,maintenance,1,362,120751.03054747841
A1,2,0,stimulus,1.5,N0,maintenance,2,362,800577.4562652318
A1,2,0,stimulus,1.5,N0,retrieval,0,277,543.0384692007967
A1,2,0,stimulus,1.5,N0,retrieval,1,277,89595.2655536787
A1,2,0,stimulus,1.5,N0,retrieval,2,277,1196087.299647302
A1,5,0,stimulus,1.5,N0,encoding,0,205,110.67535968647532
A1,5,0,stimulus,1.5,N0,encoding,1,205,18193.189566733843
A1,5,0,stimulus,1.5,N0,encoding,2,205,43446.07375526026
A1,5,0,stimulus,1.5,N0,maintenance,0,363,270.942418608819
A1,5,0,stimulus,1.5,N0,maintenance,1,363,7039.062695740978
A1,5,0,stimulus,1.5,N0,maintenance,2,363,95596.91402256284
A1,5,0,stimulus,1.5,N0,retrieval,0,284,729.9179960815765
A1,5,0,stimulus,1.5,N0,retrieval,1,284,29156.393032597425
A1,5,0,stimulus,1.5,N0,retrieval,2,284,42870.41137746518
A1,6,0,stimulus,1.5,N0,encoding,0,205,62.01375598896638
A1,6,0,stimulus,1.5,N0,encoding,1,205,41836.063298833025
A1,6,0,stimulus,1.5,N0,encoding,2,205,81310.1557721861
A1,6,0,stimulus,1.5,N0,maintenance,0,362,941.2836914640352
A1,6,0,stimulus,1.5,N0,maintenance,1,362,57315.24357737343
A1,6,0,stimulus,1.5,N0,maintenance,2,362,44413.85445309545
A1,6,0,stimulus,1.5,N0,retrieval,0,278,2097.227993282354
A1,6,0,stimulus,1.5,N0,retrieval,1,278,266786.20598796045
A1,6,0,stimulus,1.5,N0,retrieval,2,278,190460.60908020358
A1,7,0,stimulus,1.5,N0,encoding,0,205,68.14533079248396
A1,7,0,stimulus,1.5,N0,encoding,1,205,3689.1244709733396
A1,7,0,stimulus,1.5,N0,encoding,2,205,6438.962406766099
A1,7,0,stimulus,1.5,N0,maintenance,0,363,96.01678645756841
A1,7,0,stimulus,1.5,N0,maintenance,1,363,11584.260060838991
A1,7,0,stimulus,1.5,N0,maintenance,2,363,44549.96665767325
A1,7,0,stimulus,1.5,N0,retrieval,0,345,131.36195983074316
A1,7,0,stimulus,1.5,N0,retrieval,1,345,8910.240883084389
A1,7,0,stimulus,1.5,N0,retrieval,2,345,7536.465164278986
A1,8,0,stimulus,1.5,N0,encoding,0,205,73.75706659953704
A1,8,0,stimulus,1.5,N0,encoding,1,205,334.4612377609844
A1,8,0,stimulus,1.5,N0,encoding,2,205,678.212574627731
A1,8,0,stimulus,1.5,N0,maintenance,0,362,176.86037583278227
A1,8,0,stimulus,1.5,N0,maintenance,1,362,18579.78560084805
A1,8,0,stimulus,1.5,N0,maintenance,2,362,49183.501662951465
A1,8,0,stimulus,1.5,N0,retrieval,0,240,1116.2433351232698
