dataset,setting,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
A1,stimulus,2,0,1,N0,encoding,0,205,423.4312663439814,422.81811291075206,511.4531195924576,0.11896210360940353
A1,stimulus,2,0,1,N0,encoding,1,205,72258.01790291646,72675.77546396322,64021.56250278663,0.9510230764731807
A1,stimulus,2,0,1,N0,encoding,2,205,112209.66899327732,112730.07936829781,99792.82370737057,1.4006404018273
A1,stimulus,2,0,1,N0,maintenance,0,362,1005.4996766584327,1006.6197004443605,1705.0775590878281,0.28249297163778614
A1,stimulus,2,0,1,N0,maintenance,1,362,120751.03054759302,120172.68903493244,104924.17946293092,1.5892633079552527
A1,stimulus,2,0,1,N0,maintenance,2,362,800577.4562645197,799035.9333558244,752711.2323186898,9.993088297082448
A1,stimulus,2,0,1,N0,retrieval,0,277,543.0384691995838,544.2293924532466,664.8440393473353,0.15256549001351513
A1,stimulus,2,0,1,N0,retrieval,1,277,89595.26555374025,89719.0375052592,55930.38000276752,1.179207063205515
A1,stimulus,2,0,1,N0,retrieval,2,277,1196087.2996458376,1196629.794008048,1054871.7142536282,14.929980731846255
A1,stimulus,5,0,1,N0,encoding,0,205,110.6753596868807,111.03327415518118,80.5767437958299,0.03109400427549662
A1,stimulus,5,0,1,N0,encoding,1,205,18193.189566749727,17945.32660479321,22909.492657979023,0.23944945647245255
A1,stimulus,5,0,1,N0,encoding,2,205,43446.07375524641,43044.30590487275,52348.69422152261,0.542309114253003
A1,stimulus,5,0,1,N0,maintenance,0,363,270.94241860725396,270.94345967771807,454.0200394765904,0.07612068979420719
A1,stimulus,5,0,1,N0,maintenance,1,363,7039.062695753526,7169.044879998665,9894.751035870813,0.09264454318962052
A1,stimulus,5,0,1,N0,maintenance,2,363,95596.91402239079,96187.64712850118,113452.04596099514,1.193274173884189
A1,stimulus,5,0,1,N0,retrieval,0,284,729.9179960726165,730.8266277952056,870.0645656240454,0.20506889116832228
A1,stimulus,5,0,1,N0,retrieval,1,284,29156.39303260631,29162.178504771855,12744.390103284895,0.3837415335414465
A1,stimulus,5,0,1,N0,retrieval,2,284,42870.41137723393,42669.510271403815,71054.13902798208,0.5351234947632548
A1,stimulus,6,0,-1,N0,encoding,0,205,62.01375598898873,61.70509638837528,68.89019765753893,0.017422631372661278
A1,stimulus,6,0,-1,N0,encoding,1,205,41836.06329876272,42106.31207949606,49614.3106913724,0.5506248687775057
A1,stimulus,6,0,-1,N0,encoding,2,205,81310.15577201021,81576.55387173094,94612.50060025198,1.0149418519358782
A1,stimulus,6,0,-1,N0,maintenance,0,362,941.2836914611247,936.4228198451406,1530.1436393708943,0.26445162870536276
A1,stimulus,6,0,-1,N0,maintenance,1,362,57315.24357741242,57376.304593775836,51285.07932223722,0.7543539230350299
A1,stimulus,6,0,-1,N0,maintenance,2,362,44413.85445325849,44389.12989779392,41608.480335126515,0.5543892919944197
A1,stimulus,6,0,-1,N0,retrieval,0,278,2097.2279932757615,2099.5218125504175,2340.3957700815977,0.589211694220839
A1,stimulus,6,0,-1,N0,retrieval,1,278,266786.20598811994,266858.19138793775,205797.4760537393,3.5113035998346818
A1,stimulus,6,0,-1,N0,retrieval,2,278,190460.6090807341,190559.0350167323,136750.34663734716,2.3773960517706745
A1,stimulus,7,0,-1,N0,encoding,0,205,68.14533079242254,68.81876553416949,80.84516082971453,0.019145284126561465
A1,stimulus,7,0,-1,N0,encoding,1,205,3689.124470969651,3638.1866088842257,2017.652142997295,0.04855436954536841
A1,stimulus,7,0,-1,N0,encoding,2,205,6438.962406792646,6392.982188654882,3792.8863523157643,0.08037338469772383
A1,stimulus,7,0,-1,N0,maintenance,0,363,96.01678645712725,95.09881273844437,301.2476829049241,0.02697570965266321
A1,stimulus,7,0,-1,N0,maintenance,1,363,11584.26006083865,11706.198964109757,7306.319451719135,0.1524661063430513
A1,stimulus,7,0,-1,N0,maintenance,2,363,44549.96665784947,44694.617444834694,34456.17310292099,0.5560882922200002
A1,stimulus,7,0,-1,N0,retrieval,0,345,131.36195983022319,131.90239900530185,166.69834473148205,0.03690586009527785
A1,stimulus,7,0,-1,N0,retrieval,1,345,8910.240883105276,8894.456671547305,1015.513704718482,0.11727203350848998
A1,stimulus,7,0,-1,N0,retrieval,2,345,7536.465164299401,7661.168074242777,9100.59652895661,0.09407279863479667
A1,stimulus,8,0,-1,N0,encoding,0,205,73.75706659959607,73.34712600363082,60.84848849677102,0.020721889232475525
