iteration,model,n,BA,AUC
1,all_9windows,275,0.49563492063492065,0.49000000000000005
1,early_lateral,275,0.5025132275132276,0.5201587301587303
1,lateral_3windows,275,0.5170634920634921,0.5134920634920634
2,all_9windows,275,0.5261904761904762,0.5307936507936508
2,early_lateral,275,0.5228835978835978,0.5349206349206349
2,lateral_3windows,275,0.5194444444444445,0.5321164021164021
3,all_9windows,275,0.4865079365079365,0.5035449735449735
3,early_lateral,275,0.5136243386243386,0.5256613756613756
3,lateral_3windows,275,0.5351851851851852,0.5304232804232805
4,all_9windows,275,0.513095238095238,0.512962962962963
4,early_lateral,275,0.5156084656084656,0.537883597883598
4,lateral_3windows,275,0.523015873015873,0.5421693121693121
5,all_9windows,275,0.5005291005291005,0.4901587301587302
5,early_lateral,275,0.4759259259259259,0.47370370370370374
5,lateral_3windows,275,0.48306878306878304,0.4336507936507936
6,all_9windows,275,0.5187830687830688,0.49867724867724866
6,early_lateral,275,0.45092592592592595,0.4053968253968254
6,lateral_3windows,275,0.4293650793650794,0.39010582010582007
7,all_9windows,275,0.5203703703703704,0.5184656084656085
7,early_lateral,275,0.5388888888888889,0.5272486772486773
7,lateral_3windows,275,0.5022486772486773,0.511058201058201
8,all_9windows,275,0.42526455026455023,0.37328042328042327
8,early_lateral,275,0.4218253968253968,0.4049206349206349
8,lateral_3windows,275,0.47579365079365077,0.4293650793650794
9,all_9windows,275,0.40701058201058204,0.35021164021164025
9,early_lateral,275,0.45357142857142857,0.4255026455026455
9,lateral_3windows,275,0.4064814814814815,0.360952380952381
10,all_9windows,275,0.4406084656084656,0.44698412698412704
10,early_lateral,275,0.5134920634920634,0.5207936507936508
10,lateral_3windows,275,0.5205026455026456,0.5214814814814814
11,all_9windows,275,0.4186507936507936,0.4029100529100529
11,early_lateral,275,0.40714285714285714,0.3674603174603175
11,lateral_3windows,275,0.446957671957672,0.4141269841269842
12,all_9windows,275,0.45992063492063495,0.4757142857142857
12,early_lateral,275,0.4433862433862434,0.40761904761904755
12,lateral_3windows,275,0.5011904761904762,0.4829100529100529
13,all_9windows,275,0.5260582010582011,0.5451322751322751
13,early_lateral,275,0.4369047619047619,0.39121693121693124
13,lateral_3windows,275,0.4734126984126984,0.44126984126984126
14,all_9windows,275,0.42420634920634925,0.3727513227513228
14,early_lateral,275,0.3931216931216931,0.3666666666666667
14,lateral_3windows,275,0.500925925925926,0.4783597883597883
15,all_9windows,275,0.46997354497354493,0.4359259259259259
15,early_lateral,275,0.5062169312169312,0.47925925925925933
